slug,url,old_title,new_seo_title,old_description,new_description,modifiers_dropped_and_why
draw-a-bucket-of-water,/songs/draw-a-bucket-of-water/,Draw a Bucket of Water | Meet Them in Music,Draw a Bucket of Water: Lyrics and Sheet Music | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free sheet music and lyrics for the partner circle game 'Draw a Bucket of Water,' for K-2 general music classrooms, arranged in G major, 2/4 meter.",
frog-in-the-meadow,/songs/frog-in-the-meadow/,Frog in the Meadow | Meet Them in Music,Frog in the Meadow: Sheet Music and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation and a K-2 lesson plan for the turn-taking, freeze-and-stomp singing game 'Frog in the Meadow,' for K-2 general music classrooms.",
go-round-the-mountain,/songs/go-round-the-mountain/,Go 'Round the Mountain | Meet Them in Music,Go 'Round the Mountain: Lyrics and Lesson Plan | K-2 Music,"Go 'Round the Mountain is a major duple meter song. Includes pedagogical analysis, classroom activity ideas, and UDL adaptations for elementary music teachers.","Free notation, lyrics, and a K-2 lesson plan for teaching Mi-Re-Do and steady beat with the circle game 'Go 'Round the Mountain,' in C Major, 2/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
grandma-s-glasses,/songs/grandma-s-glasses/,Grandma's Glasses | Meet Them in Music,Grandma's Glasses: Lyrics and Lesson Plan | K-2 Music,"Grandma's Glasses is a mixed meter chant. Includes pedagogical analysis, classroom activity ideas, and UDL adaptations for elementary music teachers.","Free notation, lyrics, and a K-2 lesson plan for teaching duple vs. triple meter with the fingerplay 'Grandma's Glasses,' in Chant, mixed meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
great-big-house-in-new-orleans,/songs/great-big-house-in-new-orleans/,Great Big House in New Orleans | Meet Them in Music,Great Big House in New Orleans: Lesson Plan | K-2 Music,"Great Big House in New Orleans is a pentatonic duple meter song. Includes pedagogical analysis, classroom activity ideas, and UDL adaptations for elementary music teachers.","Free bass xylophone bordun notation and lyrics for 'Great Big House in New Orleans,' a K-2 general music choice song, in F Pentatonic, 4/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this); Lyrics: dropped only because full title exceeded 60 chars (page does deliver this)
haul-away-joe,/songs/haul-away-joe/,Haul Away Joe | Meet Them in Music,Haul Away Joe: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for a stretchy-band sea shanty, 'Haul Away Joe,' teaching rhythmic elongation, in C Minor, 6/8 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
high-bird,/songs/high-bird/,High Bird | Meet Them in Music,"High Bird: Lyrics, Sheet Music, and Lesson Plan | K-2 Music","Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for a scarf-flow song, 'High Bird,' teaching leading tone and La-Ti-Do, for K-2 general music classrooms.",
hogs-in-the-cornfield,/songs/hogs-in-the-cornfield/,Hogs in the Cornfield | Meet Them in Music,Hogs in the Cornfield: Lyrics and Lesson Plan | K-2 Music,"Hogs in the Cornfield is a major duple meter song. Includes pedagogical analysis, classroom activity ideas, and UDL adaptations for elementary music teachers.","Free notation, lyrics, and a K-2 lesson plan for the rock-paper-scissors partner game 'Hogs in the Cornfield,' for K-2 general music classrooms.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
jeremiah-blow-the-fire,/songs/jeremiah-blow-the-fire/,Jeremiah Blow the Fire | Meet Them in Music,Jeremiah Blow the Fire: Lyrics and Lesson Plan | K-2 Music,"Jeremiah Blow the Fire is a major duple meter song. Includes pedagogical analysis, classroom activity ideas, and UDL adaptations for elementary music teachers.","Free notation, lyrics, and a K-2 lesson plan for a scarf-movement song, 'Jeremiah Blow the Fire,' teaching Mi-Re-Do, for K-2 general music classrooms.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
jjak-jjak-ggung,/songs/jjak-jjak-ggung/,Jjak Jjak Ggung | Meet Them in Music,Jjak Jjak Ggung: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the Korean clapping song 'Jjak Jjak Ggung,' teaching So-Mi and beat keeping, in C Major, 4/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
john-the-rabbit,/songs/john-the-rabbit/,John the Rabbit | Meet Them in Music,John the Rabbit: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the traditional echo song 'John the Rabbit,' teaching call-and-response, in E Major, 2/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
let-us-chase-the-squirrel,/songs/let-us-chase-the-squirrel/,Let Us Chase the Squirrel | Meet Them in Music,Let Us Chase the Squirrel: Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the outdoor chase game 'Let Us Chase the Squirrel,' teaching Do-Re-Mi-So, in F Major, 2/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this); Lyrics: dropped only because full title exceeded 60 chars (page does deliver this)
lucy-locket,/songs/lucy-locket/,Lucy Locket | Meet Them in Music,Lucy Locket: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the circle passing game 'Lucy Locket,' teaching steady beat and fine motor skills, in Chant, 2/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
obwisana,/songs/obwisana/,Obwisana | Meet Them in Music,"Obwisana: Lyrics, Sheet Music, and Lesson Plan | K-2 Music","Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the Ghanaian passing game 'Obwisana,' teaching steady beat and teamwork, in C Major, 2/4 meter.",
old-king-glory,/songs/old-king-glory/,Old King Glory | Meet Them in Music,Old King Glory: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the circle turn-taking game 'Old King Glory,' teaching Mi-Re-Do and So-Do, in G Major, 4/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
old-raggy,/songs/old-raggy/,Old Raggy | Meet Them in Music,"Old Raggy: Lyrics, Sheet Music, and Lesson Plan | K-2 Music","Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the longways-set drumming game 'Old Raggy,' teaching macrobeat and microbeat, in F Major, 6/8 meter.",
oliver-twist,/songs/oliver-twist/,Oliver Twist | Meet Them in Music,Oliver Twist: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the creative-movement circle song 'Oliver Twist,' teaching So-Mi patterns, in C Tritonic, 6/8 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
orff-homework,/songs/orff-homework/,Orff Homework | Meet Them in Music,Orff Homework: Multi-Part Practice | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","A multi-part Orff ensemble practice worksheet with percussion, bass xylophone, and vocal parts, an internal rehearsal resource for general music.","utility/practice page, not a song lesson: no Lyrics/Sheet Music/Lesson Plan claim applied"
peas-and-honey,/songs/peas-and-honey/,Peas and Honey | Meet Them in Music,Peas and Honey: Lyrics and Sheet Music | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free sheet music and lyrics for 'Peas and Honey,' a triple-meter K-2 song for constrained-movement practice, for K-2 general music classrooms.",
pickles-and-pie,/songs/pickles-and-pie/,Pickles and Pie | Meet Them in Music,Pickles and Pie: Lyrics and Lesson Plan | K-2 Music,"Pickles and Pie is a mixolydian duple meter song. Includes pedagogical analysis, classroom activity ideas, and UDL adaptations for elementary music teachers.","Free notation, lyrics, and a K-2 lesson plan for the Mixolydian choice song 'Pickles and Pie,' teaching leading tone, in D Mixolydian, 4/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
pole-pole,/songs/pole-pole/,Pole Pole | Meet Them in Music,"Pole Pole: Lyrics, Sheet Music, and Lesson Plan | K-2 Music","Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the Swahili echo song 'Pole Pole,' teaching rhythmic elongation to K-2 classes, in F Harmonic Minor.",
poor-old-crow,/songs/poor-old-crow/,Poor Old Crow | Meet Them in Music,Poor Old Crow: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the Mixolydian bordun song 'Poor Old Crow,' for xylophone accompaniment, in D Mixolydian, 2/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
purple-light,/songs/purple-light/,Purple Light | Meet Them in Music,Purple Light: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the echo song 'Purple Light,' teaching So-Mi-Do and dotted rhythms, for K-2 general music classrooms.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
radna-and-petko,/songs/radna-and-petko/,Radna and Petko | Meet Them in Music,Radna and Petko: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the beanbag-balancing song 'Radna and Petko,' teaching flow and weight, in F Harmonic Minor, 4/4 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
rain-on-the-green-grass,/songs/rain-on-the-green-grass/,Rain on the Green Grass | Meet Them in Music,Rain on the Green Grass: Lyrics and Sheet Music | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free sheet music and lyrics for 'Rain on the Green Grass,' a K-2 general music song about weather and storms, for K-2 general music classrooms.",
roller-coaster,/songs/roller-coaster/,Roller Coaster | Meet Them in Music,Roller Coaster: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the inner-and-outer circle game 'Roller Coaster,' created during my Orff Level 1 training course.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
skin-and-bones,/songs/skin-and-bones/,Skin and Bones | Meet Them in Music,Skin and Bones: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the call-and-response ghost story 'Skin and Bones,' teaching responsibility, in G Minor, 6/8 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
stirring-the-brew,/songs/stirring-the-brew/,Stirring the Brew | Meet Them in Music,Stirring the Brew: Lyrics and Lesson Plan | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the turn-taking song 'Stirring the Brew,' teaching Tonic-Dominant in minor, in E Minor, 6/8 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
toodala,/songs/toodala/,Toodala | Meet Them in Music,"Toodala: Lyrics, Sheet Music, and Lesson Plan | K-2 Music","Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the freeze-dance song 'Toodala,' teaching pentatonic So-Do and Mi-Do patterns, in F Major, 2/4 meter.",
who-can-sail-without-the-wind-vem-kan-segla,/songs/who-can-sail-without-the-wind-vem-kan-segla/,Who Can Sail Without The Wind? (Vem Kan Segla?) | Meet Them in Music,Who Can Sail Without The Wind? (Vem Kan Segla?) | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free notation, lyrics, and a K-2 lesson plan for the Swedish lullaby 'Vem Kan Segla,' teaching flowing, rocking movement, in D Melodic Minor, 6/8 meter.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this); Lyrics: dropped only because full title exceeded 60 chars (page does deliver this); Lesson Plan: dropped only because full title exceeded 60 chars (page does deliver this)
zoom-zoom-zoom-we-re-going-to-the-moon,/songs/zoom-zoom-zoom-we-re-going-to-the-moon/,Zoom Zoom Zoom We're Going to the Moon | Meet Them in Music,Zoom Zoom Zoom We're Going to the Moon: Lyrics | K-2 Music,"Research-informed strategies, adaptable songs, and practical classroom tools for general music teachers who want every learner to belong in the music room.","Free lyrics for 'Zoom Zoom Zoom We're Going to the Moon,' a Do-Mi-So space-travel song for K-2 general music, for K-2 general music classrooms.",Sheet Music: dropped only because full title exceeded 60 chars (page does deliver this)
